"idt";"pl"
"IDT_NULL";
"IDT_PAROWANIE";"Parowanie"
"IDT_KOLEJNY_SERWIS";"Kolejny serwis"
"IDT_EDYTUJ_LICZNIK";"Edytuj licznik"
"IDT_MENU";"Menu"
"IDT_PRACA";"Praca"
"IDT_ZATWIERDZ";"Zatwierdź"
"IDT_ANULUJ";"Anuluj"
"IDT_ADRES";"Adres"
"IDT_TAK";"Tak"
"IDT_NIE";"Nie"
"IDT_OK";"Ok"
"IDT_USUN";"Usuń"
"IDT_WYJSCIE";"Wyjście"
"IDT_DALEJ";"Dalej"
"IDT_INFO";"Info"
"IDT_AKTUALNY_STAN";"Aktualny stan"
"IDT_BRAK_WYBRANEGO_LICZNIKA";"Brak wybranego licznika"
"IDT_SERWIS";"Serwis"
"IDT_BRAK_KOMUNIKACJI";"Brak komunikacji"
